"IDENTIFICADOR_NOTA_FISCAL";"DATA_EMISSAO";"OPERACAO_FISCAL";"TIPO_TRANSACAO";"CODIGO_PEDIDO_MULTICANAL";"CODIGO_FILIAL";"TRANSACAO_CLIENTE";"CODIGO_NOTA_FISCAL_ORIGEM";"FORMA_PAGAMENTO";"VALOR_NOTA_FISCAL";"NUMERO_NOTA_FISCAL";"DATA_ATUALIZACAO";"LOJA_24H";"ESTADO";"ENDERECO";"BAIRRO";"CIDADE";"CEP"
918364335;"02/08/2012";1;;;1356;2;;4;156.2;516172;"31/05/2013";1;GO;AVENIDA ASSIS CHATEAUBRIAND;ST OESTE;GOIÂNIA;"74130010"
918364336;"02/08/2012";1;;;1356;2;;5;123.6;242147;"31/05/2013";1;GO;AVENIDA ASSIS CHATEAUBRIAND;ST OESTE;GOIÂNIA;"74130010"
918364338;"02/08/2012";1;;;1356;2;;4;118.28;242237;"31/05/2013";1;GO;AVENIDA ASSIS CHATEAUBRIAND;ST OESTE;GOIÂNIA;"74130010"
918364339;"02/08/2012";1;;;1362;2;;4;88.85;153663;"31/05/2013";1;DF;SHIS QI 11 BLOCO O1;ST H I SUL;BRASÍLIA;"71625640"
918364340;"02/08/2012";1;;;1373;2;;4;84.96;336977;"31/05/2013";0;DF;SHC NORTE CL QD 104 BL B;ASA NORTE;BRASILIA;"70733520"
918364343;"02/08/2012";1;;;1387;2;;5;102.26;5486;"31/05/2013";1;DF;AVENIDA DAS ARAUCÁRIAS;SUL (A CLARAS);BRASÍLIA;"71936250"
918364352;"02/08/2012";1;;;1389;2;;4;121.37;208079;"31/05/2013";0;GO;AVENIDA 136;SETOR MARISTA;GOIÂNIA;"74180040"
918364354;"02/08/2012";1;;;1408;2;;4;221.73;74537;"31/05/2013";0;DF;CLS 102 BLOCO A;A SUL;BRASÍLIA;"70330515"
918367589;"04/08/2012";1;;;1349;2;;1;97.56;48784;"31/05/2013";0;GO;AVENIDA QUINTA AVENIDA;ST L VL NOVA;GOIÂNIA;"74645025"
918367598;"04/08/2012";1;;;1349;2;;5;101.85;48921;"31/05/2013";0;GO;AVENIDA QUINTA AVENIDA;ST L VL NOVA;GOIÂNIA;"74645025"
918367991;"04/08/2012";1;;;1357;2;;1;75.62;436829;"31/05/2013";0;GO;AVENIDA QUARTA RADIAL;ST P LUDOVICO;GOIÂNIA;"74830130"
