"IDENTIFICADOR_NOTA_FISCAL";"NUMERO_ITEM";"CODIGO_PRODUTO";"QUANTIDADE";"VALOR_UNITARIO";"VALOR_TOTAL"
1477875240;1;23022;1;27.93;27.93
1477875242;1;63430;1;34.41;34.41
1477875243;2;43143;1;13.7;13.7
1477875243;3;59497;1;34.45;34.45
1477875243;1;68440;1;13.58;13.58
1477875243;5;15596;1;24.8;24.8
1477875243;4;15596;1;24.8;24.8
1477875244;3;78111;1;2.08;2.08
1477875244;1;75738;1;18.05;18.05
1477875244;2;78111;1;2.08;2.08
1477875246;2;49895;1;34.19;34.19
1477875246;1;28337;1;9.19;9.19
1477875247;1;63234;1;26.4;26.4
1477875248;2;31615;1;52.03;52.03
1477875248;1;31615;1;52.03;52.03
1477875249;3;17659;1;11.25;11.25
1477875249;4;17659;1;11.25;11.25
1477875249;9;92141;1;36.05;36.05
1477875249;6;17659;1;11.25;11.25
1477875249;1;17659;1;11.25;11.25
1477875249;7;17659;1;11.25;11.25
1477875249;5;17659;1;11.25;11.25
1477875249;8;26717;1;9.9;9.9
1477875249;2;17659;1;11.25;11.25
1477875251;2;17923;1;6.29;6.29
1477875251;1;13018;1;11.99;11.99
1477875251;3;17923;1;6.29;6.29
1477875252;1;14643;1;27.62;27.62
1477875252;4;17226;1;44.75;44.75
1477875252;2;23200;1;7.39;7.39
1477875252;3;23200;1;7.39;7.39
1477875253;1;30979;1;29.9;29.9
1477875255;1;22652;1;39.9;39.9
1477875256;1;14759;1;6.83;6.83
1477875256;2;14759;1;6.83;6.83
1477875257;3;17596;1;224.1;224.1
1477875257;2;76887;1;11.99;11.99
1477875257;1;36854;1;13.99;13.99
1477875258;3;66474;1;10.86;10.86
1477875258;2;16905;1;11.19;11.19
1477875258;1;91368;1;7.89;7.89
1477875258;4;70116;1;21.53;21.53
1477875260;1;14259;1;8.1;8.1
1477875261;1;945;1;28.99;28.99
1477875262;1;49279;2;24.64;49.28
1477875263;2;58517;1;8.49;8.49
1477875263;3;19847;1;20.7;20.7
1477875263;1;29919;1;16.43;16.43
1477875264;2;38808;1;21.9;21.9
1477875264;1;41584;1;36.9;36.9
1477875265;3;50302;1;21.7;21.7
1477875265;1;59528;1;2.64;2.64
1477875265;2;66540;1;46.84;46.84
1477875266;9;47102;3;2.04;6.12
1477875266;4;66363;1;2.45;2.45
1477875266;2;67705;2;1.99;3.98
1477875266;7;32972;1;2.45;2.45
1477875266;1;54310;1;18.46;18.46
1477875266;8;32972;1;2.45;2.45
1477875266;3;41954;1;1.99;1.99
1477875266;5;64490;1;2.8;2.8
1477875266;6;66363;1;2.45;2.45
1477875267;1;32338;1;19.9;19.9
1477875267;3;48270;1;32.36;32.36
1477875267;2;53275;1;63.99;63.99
1477875268;4;37282;1;20.04;20.04
1477875268;1;23838;1;11.94;11.94
1477875268;2;23838;1;11.94;11.94
1477875268;5;37282;1;20.04;20.04
1477875268;3;37282;1;20.04;20.04
1477875269;1;17923;1;6.29;6.29
1477875270;3;22539;1;6.49;6.49
1477875270;2;50204;1;29.99;29.99
1477875270;1;50204;1;29.99;29.99
1477875271;2;96345;1;5.89;5.89
1477875271;7;111;1;3.99;3.99
1477875271;3;59393;1;4.99;4.99
1477875271;6;108;1;3.99;3.99
1477875271;1;136;1;5.99;5.99
1477875271;4;113;1;5.99;5.99
1477875271;5;110;1;3.99;3.99
1477875272;3;49431;1;17.99;17.99
1477875272;2;67828;1;28.99;28.99
1477875272;1;56585;1;13.39;13.39
1477875273;3;46808;1;2.99;2.99
1477875273;1;12859;1;2.39;2.39
1477875273;2;12859;1;2.39;2.39
1477875275;1;29689;1;2.39;2.39
1477875276;1;56043;1;20.9;20.9
1477875276;2;98906;1;14.15;14.15
1477875277;6;45469;1;13.33;13.33
1477875277;3;60524;1;9.29;9.29
1477875277;5;54136;1;10.99;10.99
1477875277;2;39132;1;5.41;5.41
1477875277;1;732;1;23.9;23.9
1477875277;4;54136;1;10.99;10.99
1477875278;3;27955;2;1.99;3.98
1477875278;1;32971;1;2.45;2.45
1477875278;2;32971;1;2.45;2.45
1477875279;2;84666;1;15.99;15.99
1477875279;1;10187;1;16.99;16.99
1477875279;6;5525;1;135.21;135.21
1477875279;3;21439;1;12.49;12.49
1477875279;4;79073;1;4.1;4.1
1477875279;5;5525;1;135.21;135.21
1477875280;6;70076;1;4.15;4.15
1477875280;3;72691;1;7.34;7.34
1477875280;4;48517;1;37.97;37.97
1477875280;5;2238;1;37.45;37.45
1477875280;2;72691;1;7.34;7.34
1477875280;1;72691;1;7.34;7.34
1477875281;13;49642;1;8.47;8.47
1477875281;14;49642;1;8.47;8.47
1477875281;15;49642;1;8.47;8.47
1477875281;16;49642;1;8.47;8.47
1477875281;17;49642;1;8.47;8.47
1477875281;18;49642;1;8.47;8.47
1477875281;12;49642;1;8.47;8.47
1477875281;20;49642;1;8.47;8.47
1477875281;21;49642;1;8.47;8.47
1477875281;22;49642;1;8.47;8.47
1477875281;23;49642;1;8.47;8.47
1477875281;11;49205;1;71.24;71.24
1477875281;19;49642;1;8.47;8.47
1477875281;2;50204;1;29.99;29.99
1477875281;10;49198;1;71.23;71.23
1477875281;9;47284;1;18.99;18.99
1477875281;8;1512;1;11.39;11.39
1477875281;7;1512;1;11.39;11.39
1477875281;6;49895;1;34.19;34.19
1477875281;5;49895;1;34.19;34.19
1477875281;1;49895;1;34.19;34.19
1477875281;3;43718;1;34.2;34.2
1477875281;4;48683;1;4.99;4.99
1477875282;1;38417;1;42.99;42.99
1477875282;2;43527;1;5.49;5.49
1477875283;1;54444;1;38.9;38.9
1477875283;3;74192;1;94.49;94.49
1477875283;2;34933;1;49.3;49.3
1477875283;4;14259;2;8.1;16.2
1477875286;2;64789;1;38.86;38.86
1477875286;1;37961;1;9.45;9.45
1477875287;5;68508;1;14.18;14.18
1477875287;6;57682;1;9.89;9.89
1477875287;2;37952;1;12.99;12.99
1477875287;3;41644;1;4.71;4.71
1477875287;4;54137;1;10.99;10.99
1477875287;1;86129;1;5.39;5.39
1477875288;3;1415;1;7.99;7.99
1477875288;1;1414;1;7.99;7.99
1477875288;4;46251;1;15.9;15.9
1477875288;2;47905;1;7.17;7.17
1477875290;1;32152;1;6.1;6.1
1477875291;1;79352;1;19.19;19.19
1477875293;3;20200;1;6.07;6.07
1477875293;1;29119;1;11.74;11.74
1477875293;2;96383;1;2.59;2.59
1477875294;6;16932;1;15.18;15.18
1477875294;7;49574;1;2.86;2.86
1477875294;2;15827;1;36.73;36.73
1477875294;3;15827;1;36.73;36.73
1477875294;9;49574;1;2.86;2.86
1477875294;8;49574;1;2.86;2.86
1477875294;4;68727;1;45.43;45.43
1477875294;1;68959;1;42.59;42.59
1477875294;10;59393;3;4.99;14.97
1477875294;5;60208;1;159.9;159.9
1477875295;2;73099;1;29.92;29.92
1477875295;1;45434;1;29.9;29.9
1477875296;1;36497;1;5.17;5.17
1477875297;1;45086;1;11.48;11.48
1477875298;1;43178;1;12.49;12.49
1477875298;4;96345;2;5.89;11.78
1477875298;5;93026;2;5.89;11.78
1477875298;2;8393;1;17.87;17.87
1477875298;3;10919;2;5.89;11.78
1477875299;2;74599;1;19.62;19.62
1477875299;8;68174;1;24.36;24.36
1477875299;6;74032;1;7.7;7.7
1477875299;1;74599;1;19.62;19.62
1477875299;4;74032;1;7.7;7.7
1477875299;5;74032;1;7.7;7.7
1477875299;3;74599;1;19.62;19.62
1477875299;7;21432;1;12.35;12.35
1477875300;1;90146;1;33.9;33.9
1477875300;2;35047;1;16.99;16.99
1477875300;3;25274;1;11.74;11.74
1477875301;2;20233;1;47.44;47.44
1477875301;3;28060;1;25.34;25.34
1477875301;1;37952;1;12.99;12.99
1477875302;1;48550;1;11.77;11.77
1477875302;2;28356;1;13.19;13.19
1477875302;3;30274;1;7.99;7.99
1477875303;1;47373;1;52.94;52.94
1477875303;2;89327;1;8.8;8.8
1477875304;1;49624;1;10.59;10.59
1477875304;2;49623;1;10.59;10.59
1477875304;3;43407;1;18.9;18.9
1477875304;4;46027;1;10.1;10.1
1477875305;3;6537;1;11.08;11.08
1477875305;1;91368;1;7.89;7.89
1477875305;2;49492;1;2.83;2.83
1477875306;2;61045;1;11.12;11.12
1477875306;1;37965;1;14.79;14.79
1477875308;1;937;1;18.9;18.9
1477875309;3;11784;1;2.56;2.56
1477875309;1;11784;1;2.56;2.56
1477875309;2;11784;1;2.56;2.56
1477875310;1;62372;1;6.04;6.04
1477875310;2;40858;1;19.99;19.99
